lines,chars,tokens,comments,functions,max_nesting,comment_ratio,cwe,cve_id,instance_idx,code_type
84,2030,206,15,4,2,0.17857142857142858,CWE-119,CVE-2006-3635,0,before_change
94,2582,324,9,6,3,0.09574468085106383,CWE-119,CVE-2016-7042,0,before_change
80,1908,240,14,0,3,0.175,CWE-119,CVE-2022-3545,0,before_change
6,231,26,0,2,1,0.0,CWE-119,CVE-2017-8069,0,before_change
70,1624,193,4,2,3,0.05714285714285714,CWE-119,CVE-2012-2119,0,before_change
59,1459,151,5,2,3,0.0847457627118644,CWE-119,CVE-2015-2666,0,before_change
47,1055,131,5,2,3,0.10638297872340426,CWE-119,CVE-2010-5332,0,before_change
47,1131,152,5,2,3,0.10638297872340426,CWE-119,CVE-2010-5332,1,before_change
66,1565,203,3,2,3,0.045454545454545456,CWE-119,CVE-2013-2890,0,before_change
10,334,34,0,2,1,0.0,CWE-119,CVE-2023-21264,0,before_change
46,1124,158,2,2,3,0.043478260869565216,CWE-119,CVE-2017-8061,0,before_change
26,556,76,5,0,2,0.19230769230769232,CWE-119,CVE-2017-12762,0,before_change
62,1519,196,4,2,3,0.06451612903225806,CWE-119,CVE-2012-2137,0,before_change
31,643,95,0,2,3,0.0,CWE-119,CVE-2007-6761,0,before_change
47,1733,178,2,8,2,0.0425531914893617,CWE-119,CVE-2014-3185,0,before_change
67,2050,211,4,2,3,0.05970149253731343,CWE-119,CVE-2015-4002,0,before_change
284,8324,911,2,2,6,0.007042253521126761,CWE-119,CVE-2017-7187,0,before_change
239,6333,735,14,8,5,0.058577405857740586,CWE-119,CVE-2017-14497,0,before_change
63,1814,186,1,2,2,0.015873015873015872,CWE-119,CVE-2013-2894,0,before_change
278,8411,857,13,2,5,0.046762589928057555,CWE-119,CVE-2014-9728,0,before_change
14,345,44,0,2,1,0.0,CWE-119,CVE-2009-2692,0,before_change
74,1948,220,6,2,3,0.08108108108108109,CWE-119,CVE-2016-6187,0,before_change
61,1403,157,4,2,3,0.06557377049180328,CWE-119,CVE-2022-2964,0,before_change
33,951,117,4,4,3,0.12121212121212122,CWE-119,CVE-2014-3186,0,before_change
356,7734,825,30,2,5,0.08426966292134831,CWE-119,CVE-2016-9793,0,before_change
25,586,85,0,2,2,0.0,CWE-119,CVE-2017-8063,0,before_change
35,923,105,1,2,2,0.02857142857142857,CWE-119,CVE-2018-5848,0,before_change
49,1150,114,3,2,1,0.061224489795918366,CWE-119,CVE-2013-6382,0,before_change
36,930,103,1,2,1,0.027777777777777776,CWE-125,CVE-2014-7825,0,before_change
47,1252,123,1,2,1,0.02127659574468085,CWE-125,CVE-2014-7825,1,before_change
38,1062,118,1,2,1,0.02631578947368421,CWE-125,CVE-2014-7825,2,before_change
14,332,37,0,2,2,0.0,CWE-125,CVE-2020-28974,0,before_change
294,7099,791,39,0,4,0.1326530612244898,CWE-125,CVE-2017-9074,0,before_change
101,2969,341,17,0,3,0.16831683168316833,CWE-125,CVE-2017-9074,1,before_change
76,2094,218,0,0,3,0.0,CWE-125,CVE-2017-9074,2,before_change
41,908,88,1,2,2,0.024390243902439025,CWE-125,CVE-2017-7277,0,before_change
17,471,51,4,2,2,0.23529411764705882,CWE-125,CVE-2017-7277,1,before_change
46,1353,137,1,2,3,0.021739130434782608,CWE-125,CVE-2017-7277,2,before_change
68,1325,159,1,2,3,0.014705882352941176,CWE-125,CVE-2019-15505,0,before_change
26,496,53,0,2,2,0.0,CWE-125,CVE-2021-43389,0,before_change
22,460,48,0,2,2,0.0,CWE-125,CVE-2014-3180,0,before_change
34,718,69,0,0,2,0.0,CWE-125,CVE-2014-3180,1,before_change
75,2120,201,0,2,3,0.0,CWE-125,CVE-2023-1380,0,before_change
17,479,48,0,2,1,0.0,CWE-125,CVE-2023-39193,0,before_change
13,269,30,0,2,2,0.0,CWE-125,CVE-2017-16530,0,before_change
91,3027,402,29,4,3,0.31868131868131866,CWE-125,CVE-2017-16530,1,before_change
12,255,28,0,2,1,0.0,CWE-125,CVE-2017-16530,2,before_change
77,2058,237,1,2,2,0.012987012987012988,CWE-125,CVE-2023-6121,0,before_change
61,1463,167,1,2,2,0.01639344262295082,CWE-125,CVE-2023-6121,1,before_change
51,1509,188,1,2,3,0.0196078431372549,CWE-125,CVE-2016-7915,0,before_change
45,1093,114,1,2,4,0.022222222222222223,CWE-125,CVE-2020-0067,0,before_change
135,3941,426,30,2,3,0.2222222222222222,CWE-125,CVE-2022-20132,0,before_change
54,1781,204,5,2,3,0.09259259259259259,CWE-125,CVE-2022-20132,1,before_change
296,8138,726,39,6,5,0.13175675675675674,CWE-125,CVE-2022-20132,2,before_change
118,2996,331,14,2,3,0.11864406779661017,CWE-125,CVE-2022-20132,3,before_change
150,4057,431,6,4,5,0.04,CWE-125,CVE-2019-15927,0,before_change
29,977,105,7,2,2,0.2413793103448276,CWE-125,CVE-2021-3490,0,before_change
34,1158,130,12,2,2,0.35294117647058826,CWE-125,CVE-2021-3490,1,before_change
35,1183,133,12,2,2,0.34285714285714286,CWE-125,CVE-2021-3490,2,before_change
97,2317,258,2,2,2,0.020618556701030927,CWE-125,CVE-2020-35519,0,before_change
76,1704,209,6,0,3,0.07894736842105263,CWE-125,CVE-2018-10877,0,before_change
93,2745,329,18,2,2,0.1935483870967742,CWE-125,CVE-2022-1508,0,before_change
97,2805,358,16,4,3,0.16494845360824742,CWE-125,CVE-2022-1508,1,before_change
68,2064,199,11,6,3,0.16176470588235295,CWE-125,CVE-2019-15926,0,before_change
57,1456,147,4,2,2,0.07017543859649122,CWE-125,CVE-2019-15926,1,before_change
26,850,99,7,2,1,0.2692307692307692,CWE-125,CVE-2019-15926,2,before_change
247,8233,967,41,2,3,0.1659919028340081,CWE-125,CVE-2021-29155,0,before_change
19,365,52,0,2,2,0.0,CWE-125,CVE-2020-9383,0,before_change
16,510,44,0,0,1,0.0,CWE-125,CVE-2017-18344,0,before_change
37,1102,116,6,2,1,0.16216216216216217,CWE-125,CVE-2017-18344,1,before_change
53,1364,141,4,2,2,0.07547169811320754,CWE-125,CVE-2018-13099,0,before_change
56,1608,197,8,2,2,0.14285714285714285,CWE-125,CVE-2018-13099,1,before_change
24,513,76,0,2,1,0.0,CWE-125,CVE-2019-15090,0,before_change
28,570,84,0,2,1,0.0,CWE-125,CVE-2019-15090,1,before_change
28,567,82,0,2,1,0.0,CWE-125,CVE-2019-15090,2,before_change
39,1365,185,16,2,2,0.41025641025641024,CWE-125,CVE-2021-0941,0,before_change
29,862,118,9,2,2,0.3103448275862069,CWE-125,CVE-2021-0941,1,before_change
47,1253,119,0,0,2,0.0,CWE-125,CVE-2021-0941,2,before_change
21,432,65,0,2,1,0.0,CWE-125,CVE-2014-3145,0,before_change
17,375,58,0,2,1,0.0,CWE-125,CVE-2014-3145,1,before_change
28,631,82,1,0,2,0.03571428571428571,CWE-125,CVE-2018-20854,0,before_change
45,1412,156,3,2,2,0.06666666666666667,CWE-125,CVE-2023-34256,0,before_change
53,1493,162,3,2,3,0.05660377358490566,CWE-125,CVE-2019-3459,0,before_change
32,1051,123,7,2,2,0.21875,CWE-125,CVE-2020-28097,0,before_change
189,5338,453,18,0,5,0.09523809523809523,CWE-125,CVE-2020-28097,1,before_change
66,1216,126,0,2,2,0.0,CWE-125,CVE-2018-19985,0,before_change
90,2198,223,10,2,4,0.1111111111111111,CWE-125,CVE-2018-19985,1,before_change
105,2963,348,8,0,2,0.0761904761904762,CWE-125,CVE-2020-14314,0,before_change
223,6109,585,3,2,3,0.013452914798206279,CWE-125,CVE-2021-27364,0,before_change
95,2506,303,39,4,3,0.4105263157894737,CWE-125,CVE-2015-9289,0,before_change
28,969,92,3,4,2,0.10714285714285714,CWE-125,CVE-2023-2176,0,before_change
57,1370,150,0,4,3,0.0,CWE-125,CVE-2023-2176,1,before_change
31,834,80,1,2,3,0.03225806451612903,CWE-125,CVE-2023-2176,2,before_change
24,558,57,0,2,2,0.0,CWE-125,CVE-2017-7558,0,before_change
85,3158,327,0,2,2,0.0,CWE-125,CVE-2017-7558,1,before_change
22,520,53,0,2,2,0.0,CWE-125,CVE-2017-7558,2,before_change
14,321,47,0,2,1,0.0,CWE-125,CVE-2022-3170,0,before_change
56,1452,156,2,2,2,0.03571428571428571,CWE-125,CVE-2021-39711,0,before_change
133,4061,507,14,6,3,0.10526315789473684,CWE-125,CVE-2020-0430,0,before_change
150,4544,490,30,12,3,0.2,CWE-125,CVE-2020-0430,1,before_change
8,212,28,0,2,1,0.0,CWE-125,CVE-2021-4093,0,before_change
8,272,34,0,2,1,0.0,CWE-125,CVE-2021-4093,1,before_change
224,4681,572,17,4,4,0.07589285714285714,CWE-125,CVE-2022-48502,0,before_change
60,1011,134,2,2,2,0.03333333333333333,CWE-125,CVE-2022-48502,1,before_change
461,10906,1234,29,2,4,0.06290672451193059,CWE-125,CVE-2022-48502,2,before_change
205,4851,611,36,2,3,0.17560975609756097,CWE-125,CVE-2022-48502,3,before_change
42,1099,123,5,2,3,0.11904761904761904,CWE-125,CVE-2022-48502,4,before_change
499,13262,1440,76,4,4,0.1523046092184369,CWE-125,CVE-2022-48502,5,before_change
16,235,35,0,2,2,0.0,CWE-125,CVE-2022-48502,6,before_change
19,686,62,0,2,2,0.0,CWE-125,CVE-2023-3268,0,before_change
953,29183,2912,76,2,3,0.07974816369359916,CWE-125,CVE-2016-10208,0,before_change
169,5639,520,8,2,3,0.047337278106508875,CWE-125,CVE-2019-19449,0,before_change
48,1547,181,12,2,2,0.25,CWE-125,CVE-2018-1093,0,before_change
25,667,81,4,2,2,0.16,CWE-125,CVE-2017-9984,0,before_change
25,780,87,0,2,2,0.0,CWE-125,CVE-2017-9984,1,before_change
9,211,28,0,2,1,0.0,CWE-125,CVE-2022-2785,0,before_change
49,1375,140,1,0,3,0.02040816326530612,CWE-125,CVE-2022-2785,1,before_change
99,2269,248,3,2,3,0.030303030303030304,CWE-125,CVE-2017-16535,0,before_change
14,370,40,0,2,2,0.0,CWE-125,CVE-2018-13098,0,before_change
65,1871,184,0,0,2,0.0,CWE-125,CVE-2018-13098,1,before_change
39,787,94,0,2,3,0.0,CWE-125,CVE-2020-13143,0,before_change
4,86,10,0,2,1,0.0,CWE-125,CVE-2023-38430,0,before_change
109,2604,282,10,2,3,0.09174311926605505,CWE-125,CVE-2023-38430,1,before_change
22,488,57,0,2,2,0.0,CWE-125,CVE-2019-15925,0,before_change
73,1626,182,19,4,3,0.2602739726027397,CWE-125,CVE-2019-15925,1,before_change
173,5168,581,24,2,4,0.13872832369942195,CWE-125,CVE-2017-8831,0,before_change
83,2684,380,24,4,4,0.2891566265060241,CWE-125,CVE-2023-6606,0,before_change
53,1585,165,0,0,3,0.0,CWE-125,CVE-2023-1194,0,before_change
89,2313,251,0,2,3,0.0,CWE-125,CVE-2023-6040,0,before_change
77,2044,247,2,2,4,0.025974025974025976,CWE-125,CVE-2017-5897,0,before_change
15,363,41,0,2,1,0.0,CWE-125,CVE-2017-6347,0,before_change
45,1301,132,0,2,3,0.0,CWE-125,CVE-2021-0605,0,before_change
11,264,29,0,2,2,0.0,CWE-125,CVE-2017-17741,0,before_change
21,454,59,0,2,2,0.0,CWE-125,CVE-2017-17741,1,before_change
63,1578,183,7,2,2,0.1111111111111111,CWE-125,CVE-2017-17741,2,before_change
27,635,76,0,2,3,0.0,CWE-125,CVE-2017-17741,3,before_change
6,182,19,0,2,1,0.0,CWE-125,CVE-2017-17741,4,before_change
35,1051,107,0,0,2,0.0,CWE-125,CVE-2023-38428,0,before_change
205,6892,783,24,2,3,0.11707317073170732,CWE-125,CVE-2019-15918,0,before_change
30,810,82,0,2,2,0.0,CWE-125,CVE-2018-15471,0,before_change
108,3015,369,24,2,4,0.2222222222222222,CWE-125,CVE-2023-26607,0,before_change
133,3059,346,16,2,3,0.12030075187969924,CWE-125,CVE-2021-45469,0,before_change
84,2087,216,7,2,4,0.08333333333333333,CWE-125,CVE-2017-16529,0,before_change
136,3692,394,3,2,3,0.022058823529411766,CWE-125,CVE-2022-47943,0,before_change
71,2032,218,2,2,2,0.028169014084507043,CWE-125,CVE-2017-16533,0,before_change
103,2384,287,2,2,2,0.019417475728155338,CWE-125,CVE-2021-3743,0,before_change
33,573,69,2,2,2,0.06060606060606061,CWE-125,CVE-2021-3753,0,before_change
202,4736,609,42,2,3,0.2079207920792079,CWE-125,CVE-2021-3753,1,before_change
53,832,96,0,2,2,0.0,CWE-125,CVE-2019-15666,0,before_change
141,3855,409,3,2,4,0.02127659574468085,CWE-125,CVE-2022-47940,0,before_change
38,799,96,0,2,2,0.0,CWE-125,CVE-2019-9245,0,before_change
350,10610,1075,38,2,5,0.10857142857142857,CWE-125,CVE-2021-3444,0,before_change
5,168,16,0,2,1,0.0,CWE-125,CVE-2016-9777,0,before_change
45,962,107,3,2,2,0.06666666666666667,CWE-125,CVE-2023-39189,0,before_change
78,1884,219,1,2,3,0.01282051282051282,CWE-125,CVE-2019-9445,0,before_change
27,817,82,1,2,1,0.037037037037037035,CWE-125,CVE-2023-38426,0,before_change
808,21783,2074,23,20,6,0.028465346534653466,CWE-125,CVE-2023-38426,1,before_change
161,3836,440,21,8,4,0.13043478260869565,CWE-125,CVE-2016-7917,0,before_change
46,1081,129,1,2,3,0.021739130434782608,CWE-125,CVE-2021-39657,0,before_change
186,3941,465,17,2,6,0.0913978494623656,CWE-125,CVE-2019-19252,0,before_change
71,2053,241,14,2,5,0.19718309859154928,CWE-125,CVE-2016-9555,0,before_change
239,6596,709,33,2,5,0.13807531380753138,CWE-125,CVE-2023-37453,0,before_change
138,4121,468,19,2,3,0.13768115942028986,CWE-125,CVE-2023-37453,1,before_change
122,3527,407,18,2,4,0.14754098360655737,CWE-125,CVE-2020-8835,0,before_change
53,1248,138,0,2,4,0.0,CWE-125,CVE-2018-14610,0,before_change
33,805,83,0,0,3,0.0,CWE-125,CVE-2017-16645,0,before_change
146,4308,521,28,2,4,0.1917808219178082,CWE-125,CVE-2023-6610,0,before_change
71,2200,252,10,2,3,0.14084507042253522,CWE-125,CVE-2019-14283,0,before_change
14,337,34,0,2,1,0.0,CWE-200,CVE-2018-19854,0,before_change
13,338,34,0,2,1,0.0,CWE-200,CVE-2018-19854,1,before_change
66,1619,158,0,2,2,0.0,CWE-200,CVE-2018-19854,2,before_change
18,500,48,0,2,1,0.0,CWE-200,CVE-2018-19854,3,before_change
14,319,34,0,2,1,0.0,CWE-200,CVE-2018-19854,4,before_change
14,364,34,0,2,1,0.0,CWE-200,CVE-2018-19854,5,before_change
26,517,50,1,2,1,0.038461538461538464,CWE-200,CVE-2018-3665,0,before_change
7,140,15,0,2,1,0.0,CWE-200,CVE-2018-3665,1,before_change
8,106,9,0,2,1,0.0,CWE-200,CVE-2018-3665,2,before_change
8,154,14,0,2,1,0.0,CWE-200,CVE-2018-3665,3,before_change
21,406,37,0,2,3,0.0,CWE-200,CVE-2018-3665,4,before_change
43,1001,105,6,2,2,0.13953488372093023,CWE-200,CVE-2018-3665,5,before_change
23,476,55,0,2,2,0.0,CWE-200,CVE-2018-3665,6,before_change
6,123,12,0,2,1,0.0,CWE-200,CVE-2018-3665,7,before_change
14,338,40,4,2,1,0.2857142857142857,CWE-200,CVE-2018-3665,8,before_change
90,2313,265,22,2,3,0.24444444444444444,CWE-200,CVE-2018-3665,9,before_change
12,231,21,0,2,1,0.0,CWE-200,CVE-2018-3665,10,before_change
6,130,11,0,2,1,0.0,CWE-200,CVE-2018-3665,11,before_change
15,334,35,0,2,2,0.0,CWE-200,CVE-2018-3665,12,before_change
6,123,12,0,2,1,0.0,CWE-200,CVE-2018-3665,13,before_change
15,327,29,1,2,2,0.06666666666666667,CWE-200,CVE-2018-3665,14,before_change
