cwe,cve_id,lines,chars,functions_detected,calls_detected,variables_detected,pointers_detected,arrays_detected,conditionals_detected,loops_detected,ast_success,vulnerability_indicators,indicator_count
CWE-119,CVE-2022-3435,130,2804,1,18,9,52,0,27,0,True,['pointer_operations'],1
CWE-119,CVE-2021-39633,4,144,1,1,1,0,0,1,0,True,[],0
CWE-119,CVE-2021-4157,22,517,1,8,3,8,0,3,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-119,CVE-2013-6381,52,1543,1,17,7,24,0,7,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-119,CVE-2014-6416,27,768,1,7,7,11,0,4,0,True,['pointer_operations'],1
CWE-119,CVE-2014-6416,45,801,1,8,7,3,0,4,1,True,['pointer_operations'],1
CWE-119,CVE-2014-0069,130,3260,1,24,9,47,1,14,2,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-7895,57,1565,1,8,6,41,8,4,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-7895,49,1297,1,7,6,31,2,4,2,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-7895,53,1361,1,5,4,29,8,3,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2015-1333,19,552,1,8,3,11,0,2,0,True,['pointer_operations'],1
CWE-119,CVE-2021-3635,59,1185,1,16,9,22,0,9,0,True,['pointer_operations'],1
CWE-119,CVE-2016-5829,118,3065,1,13,7,59,10,21,2,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-4512,16,350,1,3,5,3,0,2,0,True,"['buffer_variables', 'pointer_operations']",2
CWE-119,CVE-2017-18222,7,139,1,1,0,0,0,1,0,True,[],0
CWE-119,CVE-2017-18222,7,141,1,1,0,0,0,1,0,True,[],0
CWE-119,CVE-2017-18222,7,128,1,0,0,0,0,1,0,True,[],0
CWE-119,CVE-2017-18222,6,117,1,0,0,0,0,1,0,True,[],0
CWE-119,CVE-2013-4312,19,391,1,10,3,11,0,2,0,True,['pointer_operations'],1
CWE-119,CVE-2013-4312,16,320,1,8,3,8,0,2,0,True,['pointer_operations'],1
CWE-119,CVE-2017-8062,63,1460,1,15,5,25,37,8,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2017-8062,106,3069,1,25,9,70,18,9,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-2893,38,1054,1,4,6,21,9,1,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-2893,173,5034,1,39,11,63,22,19,6,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-2893,54,1395,1,12,6,26,16,5,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-8068,12,361,1,3,2,3,0,1,0,True,['pointer_operations'],1
CWE-119,CVE-2017-8068,12,348,1,3,1,4,0,1,0,True,['pointer_operations'],1
CWE-119,CVE-2007-6762,25,669,1,4,4,7,5,4,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-2899,35,1086,1,10,7,12,4,6,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-17856,29,740,1,2,4,2,0,1,0,True,['pointer_operations'],1
CWE-119,CVE-2013-1772,138,3144,1,27,6,8,1,12,3,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2013-1772,7,159,1,4,0,0,0,0,0,True,[],0
CWE-119,CVE-2013-1772,8,250,1,0,1,0,4,1,0,True,['array_operations'],1
CWE-119,CVE-2013-1772,26,556,1,5,2,2,0,3,0,True,['pointer_operations'],1
CWE-119,CVE-2013-1772,39,899,1,5,3,4,0,2,0,True,['pointer_operations'],1
CWE-119,CVE-2013-1772,151,4318,1,11,2,55,11,22,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-1772,153,3554,1,22,3,11,3,22,3,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2015-5156,199,5841,1,55,4,80,3,27,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2021-4204,76,2136,1,18,5,15,5,10,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2021-4204,257,7814,1,53,13,64,3,50,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2021-4204,230,7172,1,69,15,51,9,48,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2023-6560,53,1519,0,10,3,4,4,8,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2011-4098,104,2525,1,24,9,36,0,15,1,True,['pointer_operations'],1
CWE-119,CVE-2011-4098,128,3681,1,28,16,41,13,13,5,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2011-4098,64,1402,1,15,8,4,0,8,1,True,['pointer_operations'],1
CWE-119,CVE-2016-3955,36,738,1,6,2,11,0,6,0,True,['pointer_operations'],1
CWE-119,CVE-2017-18379,25,759,0,8,5,12,1,2,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-1773,91,1857,1,1,7,30,2,14,4,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-1773,82,2075,1,6,7,23,2,3,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-4588,142,3112,1,29,11,37,11,16,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2013-4588,129,3360,1,28,8,36,2,17,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2015-4036,39,1011,0,15,5,18,0,4,0,True,['pointer_operations'],1
CWE-119,CVE-2015-4036,29,760,1,3,4,20,4,3,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-0231,49,1284,1,12,5,23,10,8,2,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-0231,33,845,1,10,5,8,0,5,0,True,['pointer_operations'],1
CWE-119,CVE-2013-0309,4,84,1,1,0,0,0,0,0,True,[],0
CWE-119,CVE-2022-3625,8,229,1,0,3,3,0,1,0,True,['pointer_operations'],1
CWE-119,CVE-2022-3625,8,229,1,0,3,3,0,1,0,True,['pointer_operations'],1
CWE-119,CVE-2018-14615,62,1793,1,25,4,24,0,6,0,True,['pointer_operations'],1
CWE-119,CVE-2013-4514,27,650,1,9,6,7,0,0,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-119,CVE-2011-5327,44,1265,0,12,7,14,1,3,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-16534,134,3852,1,5,9,22,4,20,1,True,"['buffer_variables', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2017-18193,37,745,1,11,5,19,0,5,0,True,['pointer_operations'],1
CWE-119,CVE-2016-8633,132,3282,1,33,6,29,2,11,1,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2016-8633,64,1757,1,14,6,32,5,3,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2022-3541,40,911,1,15,5,1,0,4,0,True,['pointer_operations'],1
CWE-119,CVE-2017-1000253,445,12362,1,64,17,124,1,64,4,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-2895,24,674,1,2,6,12,6,1,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2014-0205,132,3608,1,26,6,49,0,14,0,True,['pointer_operations'],1
CWE-119,CVE-2014-0205,11,224,0,3,2,9,0,0,0,True,['pointer_operations'],1
CWE-119,CVE-2014-0205,6,140,1,2,2,4,0,0,0,True,['pointer_operations'],1
CWE-119,CVE-2014-0205,13,258,1,7,1,13,0,0,0,True,['pointer_operations'],1
CWE-119,CVE-2016-8658,230,6610,1,67,12,82,1,33,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2022-3649,82,2111,0,31,7,31,0,7,0,True,['pointer_operations'],1
CWE-119,CVE-2016-10764,73,1571,1,11,7,32,3,7,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2022-3640,75,1586,1,15,3,9,0,9,0,True,['pointer_operations'],1
CWE-119,CVE-2017-16526,9,245,1,2,1,9,0,1,0,True,['pointer_operations'],1
CWE-119,CVE-2014-3183,30,766,1,4,5,4,4,3,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2015-5283,182,5139,1,48,1,18,18,14,6,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2015-5283,37,970,1,17,0,2,0,0,0,True,['pointer_operations'],1
CWE-119,CVE-2016-1583,43,968,0,13,6,5,0,6,0,True,['pointer_operations'],1
CWE-119,CVE-2013-1860,11,262,1,5,2,6,0,0,0,True,['pointer_operations'],1
CWE-119,CVE-2013-1860,43,1023,1,11,3,36,0,2,0,True,['pointer_operations'],1
CWE-119,CVE-2013-1860,99,2120,1,23,5,53,2,15,1,True,"['buffer_variables', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2014-8884,15,437,1,1,4,7,1,0,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2013-2234,21,632,1,4,3,12,0,1,0,True,['pointer_operations'],1
CWE-119,CVE-2018-12233,149,3790,1,29,6,83,0,20,0,True,['pointer_operations'],1
CWE-119,CVE-2017-7541,101,3399,1,28,13,40,8,6,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2014-2309,238,5325,1,36,11,131,0,41,0,True,['pointer_operations'],1
CWE-119,CVE-2017-16913,87,2159,1,23,6,52,0,10,0,True,['pointer_operations'],1
CWE-119,CVE-2017-5547,29,850,1,7,6,4,2,2,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-5547,29,823,1,7,6,1,2,2,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2016-8632,22,698,1,6,5,24,0,1,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-119,CVE-2016-8632,39,843,1,11,5,12,0,3,0,True,['pointer_operations'],1
CWE-119,CVE-2016-8632,100,2540,1,22,11,54,6,13,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2018-1120,62,1162,1,10,7,10,0,6,1,True,['pointer_operations'],1
CWE-119,CVE-2018-1120,166,3245,1,20,9,20,4,17,4,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2018-1120,43,1210,1,2,4,1,0,9,0,True,['pointer_operations'],1
CWE-119,CVE-2021-22543,57,1392,1,8,7,13,0,7,0,True,['pointer_operations'],1
CWE-119,CVE-2018-7566,84,2214,1,11,8,33,1,14,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2018-20855,355,10446,1,118,15,205,0,68,0,True,['pointer_operations'],1
CWE-119,CVE-2016-5728,93,2036,1,26,6,38,0,13,0,True,['pointer_operations'],1
CWE-119,CVE-2018-1000199,44,1015,1,6,6,30,0,5,0,True,['pointer_operations'],1
CWE-119,CVE-2006-3635,84,2030,1,29,1,8,0,5,0,True,['pointer_operations'],1
CWE-119,CVE-2016-7042,94,2582,1,32,6,22,0,10,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-119,CVE-2022-3545,80,1908,0,13,3,43,0,9,0,True,['pointer_operations'],1
CWE-119,CVE-2017-8069,6,231,1,2,2,2,0,0,0,True,['pointer_operations'],1
CWE-119,CVE-2012-2119,70,1624,1,10,9,16,2,5,4,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2015-2666,59,1459,1,4,10,5,2,4,2,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2010-5332,47,1055,1,8,5,21,9,4,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2010-5332,47,1131,1,10,5,20,8,4,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2013-2890,66,1565,1,18,6,20,4,4,2,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2023-21264,10,334,1,3,2,6,0,2,0,True,['pointer_operations'],1
CWE-119,CVE-2017-8061,46,1124,1,12,4,14,2,6,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-12762,26,556,0,6,4,4,0,5,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-119,CVE-2012-2137,62,1519,1,2,6,60,4,4,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2007-6761,31,643,1,5,3,21,5,3,1,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2014-3185,47,1733,1,13,5,37,5,8,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2015-4002,67,2050,1,14,11,33,3,6,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-7187,284,8324,1,88,10,180,11,49,3,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2017-14497,239,6333,1,60,15,173,0,34,1,True,['pointer_operations'],1
CWE-119,CVE-2013-2894,63,1814,1,20,6,28,0,4,0,True,['pointer_operations'],1
CWE-119,CVE-2014-9728,278,8411,1,79,12,220,1,33,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2009-2692,14,345,1,0,4,4,0,2,0,True,['pointer_operations'],1
CWE-119,CVE-2016-6187,74,1948,1,17,6,10,2,14,0,True,"['pointer_operations', 'array_operations']",2
CWE-119,CVE-2022-2964,61,1403,1,14,4,14,0,4,1,True,['pointer_operations'],1
CWE-119,CVE-2014-3186,33,951,1,8,5,17,0,5,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-119,CVE-2016-9793,356,7734,1,58,4,59,0,40,0,True,['pointer_operations'],1
CWE-119,CVE-2017-8063,25,586,1,6,4,10,2,2,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2018-5848,35,923,1,7,6,3,1,4,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-119,CVE-2013-6382,49,1150,1,16,5,13,0,8,0,True,['pointer_operations'],1
CWE-125,CVE-2014-7825,36,930,1,9,5,9,0,5,0,True,['pointer_operations'],1
CWE-125,CVE-2014-7825,47,1252,1,10,8,11,1,5,0,True,"['buffer_variables', 'pointer_operations', 'array_operations']",3
CWE-125,CVE-2014-7825,38,1062,1,9,5,12,0,5,0,True,['pointer_operations'],1
CWE-125,CVE-2020-28974,14,332,1,4,2,1,0,1,0,True,['pointer_operations'],1
CWE-125,CVE-2017-9074,294,7099,1,102,15,82,0,28,2,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2017-9074,101,2969,0,30,8,35,0,10,0,True,['pointer_operations'],1
CWE-125,CVE-2017-9074,76,2094,0,27,7,30,1,9,1,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2017-7277,41,908,1,11,4,11,0,7,0,True,['pointer_operations'],1
CWE-125,CVE-2017-7277,17,471,1,6,3,5,0,2,0,True,['pointer_operations'],1
CWE-125,CVE-2017-7277,46,1353,1,14,6,17,0,7,0,True,['pointer_operations'],1
CWE-125,CVE-2019-15505,68,1325,1,11,4,23,7,5,1,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2021-43389,26,496,1,5,2,8,2,2,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2014-3180,22,460,1,5,2,6,0,2,0,True,['pointer_operations'],1
CWE-125,CVE-2014-3180,34,718,0,9,1,10,0,5,0,True,['pointer_operations'],1
CWE-125,CVE-2023-1380,75,2120,1,16,7,26,0,8,0,True,['pointer_operations'],1
CWE-125,CVE-2023-39193,17,479,1,0,2,7,0,5,0,True,['pointer_operations'],1
CWE-125,CVE-2017-16530,13,269,1,1,2,5,1,1,1,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2017-16530,91,3027,1,15,7,35,2,10,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2017-16530,12,255,1,2,2,3,1,1,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2023-6121,77,2058,1,24,5,38,0,12,0,True,['pointer_operations'],1
CWE-125,CVE-2023-6121,61,1463,1,18,6,23,0,7,0,True,['pointer_operations'],1
CWE-125,CVE-2016-7915,51,1509,1,11,9,26,21,6,2,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-125,CVE-2020-0067,45,1093,1,13,9,13,0,4,0,True,"['buffer_variables', 'unsafe_functions', 'pointer_operations']",3
CWE-125,CVE-2022-20132,135,3941,1,23,8,28,1,15,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2022-20132,54,1781,1,20,9,28,2,6,1,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2022-20132,296,8138,1,69,7,50,0,34,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2022-20132,118,2996,1,19,5,51,0,19,0,True,['pointer_operations'],1
CWE-125,CVE-2019-15927,150,4057,1,25,16,89,5,21,3,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2021-3490,29,977,1,3,6,16,0,2,0,True,['pointer_operations'],1
CWE-125,CVE-2021-3490,34,1158,1,4,7,17,0,2,0,True,['pointer_operations'],1
CWE-125,CVE-2021-3490,35,1183,1,4,7,16,0,2,0,True,['pointer_operations'],1
CWE-125,CVE-2020-35519,97,2317,1,18,7,41,0,13,0,True,['pointer_operations'],1
CWE-125,CVE-2018-10877,76,1704,0,22,6,22,17,8,1,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2022-1508,93,2745,1,17,7,33,0,16,0,True,['pointer_operations'],1
CWE-125,CVE-2022-1508,97,2805,1,16,7,25,0,15,1,True,['pointer_operations'],1
CWE-125,CVE-2019-15926,68,2064,1,9,5,32,3,7,1,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2019-15926,57,1456,1,11,4,17,3,4,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2019-15926,26,850,1,3,3,10,1,1,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2021-29155,247,8233,1,37,20,104,6,26,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2020-9383,19,365,1,6,0,2,0,4,0,True,['pointer_operations'],1
CWE-125,CVE-2017-18344,16,510,0,3,2,7,0,2,0,True,['pointer_operations'],1
CWE-125,CVE-2017-18344,37,1102,1,3,4,17,0,3,0,True,['pointer_operations'],1
CWE-125,CVE-2018-13099,53,1364,1,22,3,17,0,3,0,True,['pointer_operations'],1
CWE-125,CVE-2018-13099,56,1608,1,22,5,18,0,4,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2019-15090,24,513,1,9,4,10,0,1,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2019-15090,28,570,1,9,4,10,0,2,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2019-15090,28,567,1,9,4,10,0,2,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2021-0941,39,1365,1,8,3,4,0,6,0,True,['pointer_operations'],1
CWE-125,CVE-2021-0941,29,862,1,8,3,3,0,2,0,True,['pointer_operations'],1
CWE-125,CVE-2021-0941,47,1253,0,17,5,3,0,7,0,True,['pointer_operations'],1
CWE-125,CVE-2014-3145,21,432,1,2,2,6,1,4,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2014-3145,17,375,1,2,2,5,1,3,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2018-20854,28,631,0,6,4,8,4,3,1,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2023-34256,45,1412,1,16,7,16,0,4,0,True,['pointer_operations'],1
CWE-125,CVE-2019-3459,53,1493,1,14,4,27,0,6,1,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2020-28097,32,1051,1,3,4,17,0,3,0,True,['pointer_operations'],1
CWE-125,CVE-2020-28097,189,5338,0,32,9,33,4,11,2,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2018-19985,66,1216,1,6,4,3,2,5,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2018-19985,90,2198,1,12,5,13,1,15,1,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2020-14314,105,2963,0,34,14,28,4,9,1,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2021-27364,223,6109,1,61,10,136,0,18,0,True,['pointer_operations'],1
CWE-125,CVE-2015-9289,95,2506,1,9,3,29,11,11,2,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2023-2176,28,969,1,4,6,19,0,4,0,True,['pointer_operations'],1
CWE-125,CVE-2023-2176,57,1370,2,16,5,28,0,11,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2023-2176,31,834,1,12,3,3,0,4,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2017-7558,24,558,1,5,7,2,0,1,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2017-7558,85,3158,1,8,6,149,0,1,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2017-7558,22,520,1,4,6,7,0,1,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2022-3170,14,321,1,0,2,7,0,0,1,True,['pointer_operations'],1
CWE-125,CVE-2021-39711,56,1452,1,19,9,12,0,7,0,True,['pointer_operations'],1
CWE-125,CVE-2020-0430,133,4061,1,33,8,23,7,21,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2020-0430,150,4544,1,23,7,20,3,27,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2021-4093,8,212,1,1,1,13,0,0,0,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2021-4093,8,272,1,2,2,2,0,1,0,True,['pointer_operations'],1
CWE-125,CVE-2022-48502,224,4681,1,50,13,49,1,30,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-125,CVE-2022-48502,60,1011,1,10,8,9,0,11,0,True,"['buffer_variables', 'unsafe_functions', 'pointer_operations']",3
CWE-125,CVE-2022-48502,461,10906,0,95,20,238,0,70,0,True,['pointer_operations'],1
CWE-125,CVE-2022-48502,205,4851,1,51,18,39,0,17,1,True,"['unsafe_functions', 'pointer_operations']",2
CWE-125,CVE-2022-48502,42,1099,1,6,4,19,0,6,0,True,['pointer_operations'],1
CWE-125,CVE-2022-48502,499,13262,0,127,28,238,1,51,0,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-125,CVE-2022-48502,16,235,1,1,2,5,2,1,1,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2023-3268,19,686,1,0,5,7,1,1,0,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2016-10208,953,29183,1,332,17,317,8,144,4,True,"['unsafe_functions', 'pointer_operations', 'array_operations']",3
CWE-125,CVE-2019-19449,169,5639,1,62,7,43,2,21,1,True,"['pointer_operations', 'array_operations']",2
CWE-125,CVE-2018-1093,48,1547,1,14,4,5,0,4,0,True,['pointer_operations'],1
CWE-125,CVE-2017-9984,25,667,1,10,3,9,0,1,1,True,['pointer_operations'],1
